id,display_name,author_counts_by_year,affiliated_per_year
I125749732,Western University,"[{'cited_by_count': 3665638, 'works_count': 77364, 'year': 2018}, {'cited_by_count': 3036917, 'works_count': 47364, 'year': 2025}, {'cited_by_count': 3164330, 'works_count': 73400, 'year': 2016}, {'cited_by_count': 3062022, 'works_count': 69695, 'year': 2015}, {'cited_by_count': 4126210, 'works_count': 81181, 'year': 2019}, {'cited_by_count': 5763242, 'works_count': 83299, 'year': 2024}, {'cited_by_count': 2905470, 'works_count': 65786, 'year': 2014}, {'cited_by_count': 5687228, 'works_count': 85362, 'year': 2021}, {'cited_by_count': 2463238, 'works_count': 65651, 'year': 2012}, {'cited_by_count': 3400401, 'works_count': 74141, 'year': 2017}, {'cited_by_count': 5086938, 'works_count': 86842, 'year': 2020}, {'cited_by_count': 5710503, 'works_count': 89948, 'year': 2023}, {'cited_by_count': 5601345, 'works_count': 78483, 'year': 2022}, {'cited_by_count': 2701092, 'works_count': 62792, 'year': 2013}]","{'2008': 2347, '2009': 2629, '2006': 2076, '2007': 2194, '2004': 1554, '2005': 1870, '2002': 1417, '2003': 1463, '1970': 199, '1971': 259, '1972': 275, '1973': 322, '1974': 340, '1975': 369, '1976': 354, '1977': 391, '2012': 3539, '1978': 403, '2011': 3219, '1979': 436, '2010': 2925, '2017': 5264, '2018': 5282, '2019': 5596, '1898': 2, '2013': 3688, '1899': 2, '2014': 4066, '2015': 4256, '1897': 1, '2016': 5138, '1900': 1, '1901': 2, '1903': 1, '1990': 966, '1906': 1, '1907': 1, '1982': 488, '1983': 649, '1980': 533, '1981': 544, '1986': 755, '1987': 857, '1984': 592, '1985': 670, '2021': 6594, '2020': 6214, '1988': 930, '2023': 6608, '1989': 879, '2022': 6556, '1918': 1, '1915': 2, '1914': 4, '1995': 1172, '1996': 1207, '1997': 1147, '1998': 1276, '1991': 981, '1992': 1044, '1993': 1140, '1919': 2, '1994': 1187, '1999': 1213, '1920': 1, '1926': 6, '1927': 7, '1928': 3, '1929': 3, '1922': 3, '1924': 3, '1925': 8, '2001': 1330, '2000': 1286, '1936': 5, '1935': 8, '1934': 9, '1933': 3, '1939': 10, '1938': 10, '1937': 6, '1932': 6, '1931': 2, '1930': 12, '1945': 8, '1944': 8, '1947': 9, '1946': 9, '1949': 20, '1948': 12, '1941': 4, '1940': 5, '1943': 7, '1942': 8, '1959': 42, '1958': 43, '1957': 51, '1956': 45, '1955': 35, '1954': 42, '1953': 24, '1952': 16, '1887': 2, '1951': 21, '1950': 25, '1883': 1, '2025': 4007, '2024': 6603, '1967': 141, '1966': 89, '1969': 156, '1968': 138, '1963': 79, '1962': 63, '1965': 100, '1964': 97, '1961': 47, '1960': 47}"
I129902397,Dalhousie University,"[{'cited_by_count': 1958185, 'works_count': 43649, 'year': 2014}, {'cited_by_count': 2864775, 'works_count': 54274, 'year': 2019}, {'cited_by_count': 4078874, 'works_count': 55274, 'year': 2021}, {'cited_by_count': 2500787, 'works_count': 50236, 'year': 2018}, {'cited_by_count': 2309744, 'works_count': 47918, 'year': 2017}, {'cited_by_count': 2063953, 'works_count': 47291, 'year': 2015}, {'cited_by_count': 2153686, 'works_count': 47891, 'year': 2016}, {'cited_by_count': 1666824, 'works_count': 42820, 'year': 2012}, {'cited_by_count': 2102035, 'works_count': 27778, 'year': 2025}, {'cited_by_count': 4017368, 'works_count': 51116, 'year': 2022}, {'cited_by_count': 1822671, 'works_count': 43546, 'year': 2013}, {'cited_by_count': 4067584, 'works_count': 57215, 'year': 2023}, {'cited_by_count': 3574168, 'works_count': 55601, 'year': 2020}, {'cited_by_count': 4032701, 'works_count': 50594, 'year': 2024}]","{'2008': 1570, '2009': 1674, '2006': 1459, '2007': 1539, '2004': 1144, '2005': 1340, '2002': 928, '2003': 1032, '1970': 117, '1971': 161, '1972': 129, '1973': 170, '1974': 192, '1975': 199, '1976': 238, '1977': 241, '2012': 2050, '1978': 254, '2011': 1812, '1979': 267, '2010': 1696, '1894': 7, '2017': 3270, '2018': 3482, '1892': 1, '2019': 3584, '1893': 1, '1898': 2, '2013': 2231, '1899': 1, '2014': 2391, '1896': 2, '2015': 2745, '1897': 1, '2016': 3251, '1900': 1, '1901': 1, '1990': 558, '1905': 1, '1907': 1, '1982': 310, '1908': 1, '1983': 337, '1980': 365, '1981': 327, '1986': 412, '1987': 501, '1984': 442, '1985': 450, '2021': 3949, '2020': 3796, '1988': 524, '2023': 4150, '1989': 530, '2022': 4355, '1910': 1, '1917': 1, '1918': 2, '1915': 2, '1916': 1, '1914': 1, '1911': 1, '1912': 3, '1995': 637, '1996': 717, '1997': 714, '1998': 833, '1991': 581, '1992': 591, '1993': 651, '1919': 1, '1994': 648, '1999': 805, '1920': 1, '1921': 4, '1926': 2, '1927': 14, '1928': 6, '1929': 6, '1922': 2, '1923': 3, '2001': 884, '2000': 867, '1936': 8, '1935': 6, '1934': 10, '1933': 5, '1939': 10, '1938': 8, '1937': 7, '1932': 8, '1931': 9, '1866': 1, '1930': 12, '1945': 3, '1944': 12, '1947': 11, '1946': 11, '1949': 10, '1948': 4, '1941': 7, '1940': 8, '1943': 4, '1942': 8, '1959': 14, '1958': 22, '1889': 1, '1957': 16, '1956': 20, '1955': 6, '1954': 13, '1953': 9, '1888': 1, '1952': 11, '1951': 12, '1950': 10, '1883': 1, '1890': 2, '1891': 1, '2025': 2404, '2024': 4030, '1967': 76, '1966': 48, '1969': 141, '1878': 2, '1968': 78, '1877': 1, '1963': 21, '1876': 1, '1962': 26, '1965': 51, '1964': 41, '1961': 24, '1870': 3, '1960': 33}"
I141945490,University of British Columbia,"[{'cited_by_count': 14679724, 'works_count': 187305, 'year': 2024}, {'cited_by_count': 10944392, 'works_count': 185005, 'year': 2019}, {'cited_by_count': 15295353, 'works_count': 200114, 'year': 2021}, {'cited_by_count': 7972330, 'works_count': 156663, 'year': 2015}, {'cited_by_count': 7499316, 'works_count': 147814, 'year': 2014}, {'cited_by_count': 14604492, 'works_count': 186176, 'year': 2022}, {'cited_by_count': 9649433, 'works_count': 174256, 'year': 2018}, {'cited_by_count': 7518983, 'works_count': 101194, 'year': 2025}, {'cited_by_count': 8320919, 'works_count': 167646, 'year': 2016}, {'cited_by_count': 8927358, 'works_count': 168810, 'year': 2017}, {'cited_by_count': 6290114, 'works_count': 146563, 'year': 2012}, {'cited_by_count': 14951045, 'works_count': 238776, 'year': 2023}, {'cited_by_count': 6974027, 'works_count': 145175, 'year': 2013}, {'cited_by_count': 13528546, 'works_count': 201022, 'year': 2020}]","{'2008': 5358, '2009': 5858, '2006': 4572, '2007': 5324, '2004': 3412, '2005': 4053, '2002': 3129, '2003': 3162, '1970': 523, '1971': 583, '1972': 570, '1973': 612, '1974': 649, '1975': 647, '1976': 666, '1977': 686, '2012': 7204, '1978': 735, '2011': 6645, '1979': 763, '2010': 6580, '2017': 10848, '2018': 11676, '2019': 12317, '2013': 7790, '2014': 8296, '2015': 9110, '2016': 10254, '1990': 1730, '1982': 881, '1983': 982, '1980': 864, '1981': 918, '1986': 1246, '1987': 1395, '1984': 1131, '1985': 1134, '2021': 14396, '2020': 13252, '1988': 1600, '2023': 14530, '1989': 1675, '2022': 14577, '1917': 1, '1918': 1, '1916': 2, '1914': 1, '1995': 2138, '1996': 2393, '1997': 2534, '1998': 2393, '1991': 1830, '1992': 2048, '1993': 2279, '1919': 2, '1994': 2227, '1999': 2644, '1920': 2, '1921': 3, '1926': 5, '1927': 6, '1928': 5, '1929': 7, '1922': 3, '1923': 3, '1924': 3, '1925': 6, '2001': 2624, '2000': 2632, '1936': 6, '1935': 7, '1934': 20, '1933': 10, '1939': 5, '1938': 11, '1937': 6, '1932': 10, '1931': 11, '1930': 10, '1945': 15, '1944': 7, '1947': 15, '1946': 10, '1949': 27, '1948': 23, '1941': 13, '1940': 19, '1943': 8, '1942': 10, '1959': 139, '1958': 79, '1957': 84, '1956': 97, '1955': 87, '1954': 63, '1953': 52, '1952': 43, '1951': 52, '1950': 36, '1884': 1, '2025': 8429, '2024': 13588, '1967': 302, '1966': 330, '1969': 446, '1968': 346, '1963': 352, '1962': 296, '1965': 368, '1964': 382, '1961': 208, '1960': 163}"
I151746483,University of Waterloo,"[{'cited_by_count': 2117843, 'works_count': 37779, 'year': 2025}, {'cited_by_count': 3545604, 'works_count': 74335, 'year': 2020}, {'cited_by_count': 4206532, 'works_count': 75165, 'year': 2023}, {'cited_by_count': 3954929, 'works_count': 69575, 'year': 2022}, {'cited_by_count': 1558312, 'works_count': 52789, 'year': 2012}, {'cited_by_count': 2564789, 'works_count': 65956, 'year': 2018}, {'cited_by_count': 4128691, 'works_count': 72215, 'year': 2024}, {'cited_by_count': 2966130, 'works_count': 70970, 'year': 2019}, {'cited_by_count': 4074239, 'works_count': 75899, 'year': 2021}, {'cited_by_count': 1976489, 'works_count': 58738, 'year': 2015}, {'cited_by_count': 2092885, 'works_count': 60944, 'year': 2016}, {'cited_by_count': 2278717, 'works_count': 62495, 'year': 2017}, {'cited_by_count': 1714700, 'works_count': 53906, 'year': 2013}, {'cited_by_count': 1868550, 'works_count': 55989, 'year': 2014}]","{'2008': 2008, '2009': 2138, '2006': 1714, '2007': 1812, '2004': 1290, '2005': 1534, '2002': 1549, '2003': 1337, '1970': 214, '1971': 291, '1972': 321, '1973': 318, '1974': 353, '1975': 373, '1976': 304, '1977': 336, '2012': 2691, '1978': 346, '2011': 2389, '1979': 383, '2010': 2312, '2017': 4010, '1944': 6, '2018': 4320, '2019': 4564, '1946': 1, '2013': 2817, '1899': 1, '2014': 3185, '2015': 3467, '2016': 3813, '1990': 721, '1982': 402, '1983': 427, '1980': 410, '1981': 388, '1986': 546, '1987': 589, '1984': 462, '1985': 495, '2021': 5282, '2020': 4933, '1988': 601, '2023': 5154, '1989': 675, '2022': 5139, '1884': 1, '1995': 808, '1996': 848, '1997': 811, '1998': 852, '1991': 758, '1992': 793, '1993': 853, '1994': 856, '2025': 2526, '2024': 4901, '1999': 782, '1967': 102, '1966': 61, '1969': 202, '1968': 124, '1963': 13, '1962': 4, '1965': 51, '1964': 33, '1961': 6, '1924': 1, '1960': 3, '2001': 877, '2000': 908}"
I153718931,University of Ottawa,"[{'cited_by_count': 4126568, 'works_count': 80464, 'year': 2018}, {'cited_by_count': 3933565, 'works_count': 45501, 'year': 2025}, {'cited_by_count': 2586648, 'works_count': 63327, 'year': 2012}, {'cited_by_count': 3130047, 'works_count': 67902, 'year': 2014}, {'cited_by_count': 2886899, 'works_count': 66445, 'year': 2013}, {'cited_by_count': 3516489, 'works_count': 76458, 'year': 2016}, {'cited_by_count': 5915656, 'works_count': 89667, 'year': 2020}, {'cited_by_count': 6829508, 'works_count': 88313, 'year': 2021}, {'cited_by_count': 7402284, 'works_count': 82517, 'year': 2024}, {'cited_by_count': 6966312, 'works_count': 82199, 'year': 2022}, {'cited_by_count': 3359082, 'works_count': 73078, 'year': 2015}, {'cited_by_count': 3810365, 'works_count': 75938, 'year': 2017}, {'cited_by_count': 7286154, 'works_count': 92192, 'year': 2023}, {'cited_by_count': 4697791, 'works_count': 81438, 'year': 2019}]","{'2008': 2380, '2009': 2633, '2006': 2014, '2007': 2249, '2004': 1527, '2005': 1773, '2002': 1440, '2003': 1374, '1970': 127, '1971': 146, '1972': 185, '1973': 206, '1974': 210, '1975': 221, '1976': 223, '1977': 266, '2012': 3471, '1978': 296, '2011': 3136, '1979': 342, '2010': 2891, '2017': 5735, '2018': 6066, '1947': 1, '2019': 6341, '1949': 5, '2013': 3761, '1899': 4, '2014': 4180, '2015': 4748, '2016': 5465, '1990': 723, '1941': 1, '1982': 371, '1983': 409, '1980': 312, '1981': 336, '1986': 624, '1987': 600, '1984': 422, '1985': 497, '2021': 6751, '2020': 6467, '1988': 766, '2023': 7067, '1989': 625, '2022': 7116, '1959': 19, '1958': 41, '1957': 22, '1956': 17, '1955': 10, '1954': 10, '1917': 1, '1953': 9, '1952': 4, '1951': 8, '1950': 6, '1995': 1017, '1996': 981, '1997': 1081, '1998': 1037, '1991': 731, '1992': 837, '1993': 883, '1994': 976, '2025': 3925, '2024': 6715, '1999': 1027, '1967': 103, '1966': 68, '1969': 145, '1968': 82, '1963': 50, '1962': 88, '1965': 43, '1964': 41, '1961': 33, '1960': 31, '2001': 1189, '2000': 1120}"
I154425047,University of Alberta,"[{'cited_by_count': 4662368, 'works_count': 71195, 'year': 2025}, {'cited_by_count': 4454914, 'works_count': 102299, 'year': 2013}, {'cited_by_count': 5560110, 'works_count': 114349, 'year': 2017}, {'cited_by_count': 9102411, 'works_count': 145226, 'year': 2023}, {'cited_by_count': 9127312, 'works_count': 137076, 'year': 2021}, {'cited_by_count': 8792366, 'works_count': 130579, 'year': 2022}, {'cited_by_count': 5929985, 'works_count': 118865, 'year': 2018}, {'cited_by_count': 5325571, 'works_count': 118486, 'year': 2016}, {'cited_by_count': 6721357, 'works_count': 125778, 'year': 2019}, {'cited_by_count': 8105465, 'works_count': 135589, 'year': 2020}, {'cited_by_count': 8969750, 'works_count': 128673, 'year': 2024}, {'cited_by_count': 4702727, 'works_count': 104657, 'year': 2014}, {'cited_by_count': 4050230, 'works_count': 106564, 'year': 2012}, {'cited_by_count': 5062099, 'works_count': 108715, 'year': 2015}]","{'2008': 4084, '2009': 4165, '2006': 3474, '2007': 3572, '2004': 2899, '2005': 3085, '2002': 2616, '2003': 2706, '1970': 387, '1971': 429, '1972': 500, '1973': 543, '1974': 596, '1975': 519, '1976': 494, '1977': 589, '2012': 5289, '1978': 562, '2011': 4874, '1979': 580, '2010': 4398, '2017': 7965, '1895': 1, '2018': 8549, '2019': 8980, '1898': 1, '2013': 5731, '1899': 1, '2014': 6015, '2015': 6602, '2016': 7641, '1990': 1466, '1982': 643, '1983': 717, '1980': 627, '1981': 711, '1986': 1142, '1987': 1313, '1984': 869, '1985': 993, '2021': 9964, '2020': 9341, '1988': 1370, '2023': 10019, '1989': 1409, '2022': 10933, '1917': 1, '1916': 1, '1913': 1, '1914': 3, '1995': 1814, '1996': 1859, '1997': 1954, '1998': 1957, '1991': 1503, '1992': 1563, '1993': 1719, '1919': 1, '1994': 1810, '1999': 2069, '1920': 4, '1921': 3, '1926': 6, '1927': 8, '1928': 10, '1929': 7, '1922': 3, '1923': 8, '1924': 5, '1925': 6, '2001': 2097, '2000': 2119, '1936': 12, '1935': 5, '1934': 8, '1933': 2, '1939': 12, '1938': 8, '1937': 13, '1932': 16, '1931': 6, '1930': 4, '1945': 5, '1944': 12, '1947': 14, '1946': 4, '1949': 20, '1948': 9, '1941': 8, '1940': 10, '1943': 2, '1942': 11, '1959': 58, '1958': 51, '1957': 20, '1956': 35, '1955': 35, '1954': 29, '1953': 15, '1952': 26, '1951': 16, '1950': 17, '2025': 5400, '2024': 9097, '1967': 212, '1966': 231, '1969': 349, '1968': 305, '1963': 142, '1962': 133, '1965': 261, '1964': 188, '1961': 101, '1870': 1, '1960': 73}"
I168635309,University of Calgary,"[{'cited_by_count': 3841074, 'works_count': 84920, 'year': 2015}, {'cited_by_count': 4098771, 'works_count': 57938, 'year': 2025}, {'cited_by_count': 4025841, 'works_count': 89539, 'year': 2016}, {'cited_by_count': 7553074, 'works_count': 103408, 'year': 2022}, {'cited_by_count': 3336011, 'works_count': 77182, 'year': 2013}, {'cited_by_count': 7773333, 'works_count': 101183, 'year': 2024}, {'cited_by_count': 7622852, 'works_count': 108170, 'year': 2021}, {'cited_by_count': 4752229, 'works_count': 97936, 'year': 2018}, {'cited_by_count': 2997238, 'works_count': 77568, 'year': 2012}, {'cited_by_count': 5450229, 'works_count': 100417, 'year': 2019}, {'cited_by_count': 7722929, 'works_count': 117488, 'year': 2023}, {'cited_by_count': 4357754, 'works_count': 90834, 'year': 2017}, {'cited_by_count': 3594941, 'works_count': 79860, 'year': 2014}, {'cited_by_count': 6707421, 'works_count': 114354, 'year': 2020}]","{'2008': 2673, '2009': 2966, '2006': 2436, '2007': 2650, '2004': 2033, '2005': 2142, '2002': 1802, '2003': 1847, '1970': 160, '1971': 171, '1972': 221, '1973': 258, '1974': 251, '1975': 228, '1976': 256, '1977': 260, '2012': 3747, '1978': 284, '2011': 3541, '1979': 308, '2010': 3249, '2017': 6458, '2018': 6926, '2019': 7214, '2013': 4167, '2014': 4535, '2015': 5219, '2016': 6128, '1990': 1071, '1982': 436, '1983': 518, '1980': 330, '1981': 343, '1986': 663, '1987': 732, '1984': 618, '1985': 598, '2021': 8084, '2020': 7717, '1988': 847, '2023': 8429, '1989': 923, '2022': 8253, '1957': 1, '1953': 1, '1950': 1, '1995': 1092, '1996': 1220, '1997': 1164, '1998': 1246, '1991': 936, '1992': 1054, '1993': 1061, '1994': 1040, '2025': 4910, '2024': 8014, '1999': 1245, '1967': 69, '1966': 43, '1969': 138, '1968': 104, '1963': 11, '1962': 7, '1965': 23, '1964': 21, '1961': 2, '1960': 2, '2001': 1343, '2000': 1369}"
I18014758,Simon Fraser University,"[{'cited_by_count': 1542427, 'works_count': 33554, 'year': 2015}, {'cited_by_count': 1792703, 'works_count': 37526, 'year': 2018}, {'cited_by_count': 2583887, 'works_count': 45012, 'year': 2023}, {'cited_by_count': 1335306, 'works_count': 31674, 'year': 2013}, {'cited_by_count': 2365517, 'works_count': 40467, 'year': 2020}, {'cited_by_count': 2021738, 'works_count': 38594, 'year': 2019}, {'cited_by_count': 2485416, 'works_count': 38505, 'year': 2024}, {'cited_by_count': 2468503, 'works_count': 36897, 'year': 2022}, {'cited_by_count': 1410561, 'works_count': 33486, 'year': 2014}, {'cited_by_count': 1681642, 'works_count': 37002, 'year': 2017}, {'cited_by_count': 1219548, 'works_count': 18766, 'year': 2025}, {'cited_by_count': 1634944, 'works_count': 36675, 'year': 2016}, {'cited_by_count': 2701514, 'works_count': 40517, 'year': 2021}, {'cited_by_count': 1196077, 'works_count': 32121, 'year': 2012}]","{'2008': 1294, '2009': 1360, '2006': 1085, '2007': 1246, '2004': 800, '2005': 946, '2002': 817, '2003': 818, '1970': 82, '1971': 88, '1972': 116, '1973': 105, '1974': 92, '1975': 122, '1976': 117, '1977': 86, '2012': 1822, '1978': 135, '2011': 1804, '1979': 138, '2010': 1584, '2017': 2490, '2018': 2597, '2019': 2670, '2013': 1917, '2014': 2077, '2015': 2125, '2016': 2330, '1990': 372, '1982': 197, '1983': 194, '1980': 160, '1981': 189, '1986': 253, '1987': 259, '1984': 228, '1985': 236, '2021': 2890, '2020': 2787, '1988': 296, '2023': 2963, '1989': 315, '2022': 2924, '1995': 504, '1996': 547, '1997': 504, '1998': 524, '1991': 396, '1992': 404, '1993': 450, '1994': 468, '2025': 1383, '2024': 2635, '1999': 506, '1967': 31, '1966': 20, '1969': 67, '1968': 38, '1965': 3, '2001': 550, '2000': 590}"
