id,display_name,avg_distinct_countries,avg_citation_normalized_percentile,avg_fwci,avg_distinct_institutions,avg_apc_paid,is_open_access,type,total_by_publication_year,open_access_status
I125749732,Western University,1.6840985770867043,0.6017242203982024,2.167095763265625,3.3037593182818656,285.43643564884184,"{'true': 55886, 'false': 94088}","{'other': 715, 'book-chapter': 7331, 'supplementary-materials': 4, 'editorial': 890, 'standard': 3, 'letter': 2534, 'peer-review': 175, 'reference-entry': 57, 'erratum': 326, 'paratext': 323, 'article': 122258, 'dataset': 889, 'book': 702, 'report': 179, 'dissertation': 23, 'review': 9710, 'preprint': 3850, 'retraction': 5}","{'2008': 3479, '2009': 3907, '2006': 3117, '2007': 3267, '2004': 2385, '2005': 2763, '2002': 2188, '2003': 2300, '1970': 290, '1971': 384, '1972': 403, '1973': 445, '1974': 508, '1975': 526, '1976': 538, '1977': 592, '2012': 4653, '1978': 604, '2011': 4666, '1979': 674, '2010': 4190, '2017': 5810, '2018': 6093, '2019': 6323, '1898': 2, '2013': 4911, '1899': 2, '2014': 5111, '2015': 5144, '1897': 2, '2016': 5552, '1900': 1, '1901': 2, '1903': 1, '1990': 1353, '1906': 1, '1907': 1, '1982': 755, '1983': 845, '1980': 716, '1981': 782, '1986': 1043, '1987': 1108, '1984': 888, '1985': 899, '2021': 7630, '2020': 7445, '1988': 1213, '2023': 7184, '1989': 1291, '2022': 6979, '1918': 1, '1915': 3, '1913': 1, '1914': 3, '1995': 1627, '1996': 1621, '1997': 1665, '1998': 1759, '1991': 1298, '1992': 1418, '1993': 1442, '1919': 2, '1994': 1524, '1999': 1710, '1920': 4, '1926': 7, '1927': 12, '1928': 4, '1929': 3, '1922': 3, '1923': 2, '1924': 7, '1925': 7, '2001': 1905, '2000': 1813, '1936': 8, '1935': 12, '1934': 15, '1933': 6, '1939': 20, '1938': 19, '1937': 12, '1932': 9, '1931': 4, '1930': 12, '1945': 18, '1944': 20, '1947': 14, '1946': 12, '1949': 27, '1948': 20, '1941': 9, '1940': 17, '1943': 12, '1942': 12, '1959': 75, '1958': 56, '1957': 89, '1956': 66, '1955': 50, '1954': 62, '1953': 34, '1952': 26, '1887': 2, '1951': 29, '1950': 29, '1883': 3, '2025': 2645, '2024': 6318, '1967': 189, '1966': 143, '1969': 220, '1968': 232, '1963': 116, '1962': 93, '1965': 153, '1964': 130, '1961': 65, '1960': 64}","{'bronze': 18994, 'green': 12175, 'diamond': 2043, 'gold': 15458, 'hybrid': 7216}"
I129902397,Dalhousie University,1.7347872374065993,0.5953772939570543,2.0830378830200993,3.6998661340135635,343.7888817446821,"{'true': 37980, 'false': 56891}","{'other': 436, 'book-chapter': 4863, 'editorial': 623, 'peer-review': 248, 'letter': 1640, 'reference-entry': 39, 'erratum': 245, 'paratext': 217, 'article': 77668, 'dataset': 331, 'book': 353, 'report': 61, 'dissertation': 29, 'review': 5784, 'preprint': 2330, 'retraction': 4}","{'2008': 2249, '2009': 2350, '2006': 2217, '2007': 2204, '2004': 1754, '2005': 1922, '2002': 1410, '2003': 1633, '1970': 161, '1971': 224, '1972': 228, '1973': 241, '1974': 262, '1975': 321, '1976': 321, '1977': 359, '2012': 2724, '1978': 403, '2011': 2641, '1979': 368, '2010': 2562, '1894': 1, '2017': 3476, '2018': 3972, '1892': 1, '2019': 4454, '1893': 2, '1898': 2, '2013': 3111, '1899': 1, '2014': 3257, '1896': 3, '2015': 3267, '1897': 2, '2016': 3435, '1900': 2, '1901': 1, '1990': 814, '1905': 1, '1907': 1, '1982': 440, '1908': 1, '1983': 471, '1980': 395, '1981': 433, '1986': 615, '1987': 687, '1984': 541, '1985': 661, '2021': 4804, '2020': 4578, '1988': 704, '2023': 4750, '1989': 725, '2022': 4827, '1910': 1, '1917': 1, '1918': 2, '1915': 4, '1916': 2, '1914': 1, '1911': 1, '1912': 4, '1995': 809, '1996': 944, '1997': 953, '1998': 1058, '1991': 780, '1992': 772, '1993': 850, '1919': 1, '1994': 805, '1999': 1241, '1920': 3, '1921': 4, '1926': 3, '1927': 16, '1928': 23, '1929': 14, '1922': 4, '1923': 3, '1924': 1, '1925': 1, '2001': 1372, '2000': 1331, '1868': 1, '1936': 6, '1935': 5, '1934': 10, '1933': 6, '1939': 9, '1938': 8, '1937': 10, '1932': 6, '1931': 16, '1866': 4, '1930': 10, '1945': 4, '1944': 8, '1947': 8, '1946': 7, '1949': 7, '1948': 4, '1941': 9, '1940': 17, '1943': 4, '1942': 9, '1959': 18, '1958': 20, '1889': 8, '1957': 20, '1956': 15, '1955': 9, '1954': 15, '1953': 9, '1888': 1, '1952': 16, '1951': 6, '1950': 7, '1884': 1, '1883': 3, '1890': 3, '1891': 1, '2025': 1702, '2024': 4177, '1967': 87, '1966': 63, '1969': 183, '1878': 2, '1968': 100, '1877': 1, '1963': 28, '1876': 1, '1962': 32, '1875': 1, '1965': 74, '1964': 42, '1873': 2, '1961': 23, '1870': 5, '1960': 35}","{'bronze': 12387, 'green': 7200, 'diamond': 1189, 'gold': 11773, 'hybrid': 5431}"
I141945490,University of British Columbia,1.8641194511702874,0.6124345558611819,2.521104003228381,3.8410524616626907,323.789452784507,"{'true': 123264, 'false': 186486}","{'other': 1516, 'book-chapter': 14516, 'supplementary-materials': 4, 'editorial': 1790, 'standard': 1, 'letter': 5525, 'peer-review': 507, 'reference-entry': 147, 'erratum': 784, 'paratext': 805, 'article': 251391, 'dataset': 2904, 'book': 1375, 'report': 454, 'dissertation': 184, 'review': 18744, 'preprint': 9081, 'retraction': 22}","{'2008': 7924, '2009': 8112, '2006': 6825, '2007': 7332, '2004': 5166, '2005': 5853, '2002': 4618, '2003': 4789, '1970': 660, '1971': 790, '1972': 790, '1973': 835, '1974': 969, '1975': 903, '1976': 913, '1977': 963, '2012': 9760, '1978': 1116, '2011': 9494, '1979': 1163, '2010': 9387, '2017': 12159, '2018': 12845, '2019': 13939, '2013': 10236, '2014': 10829, '2015': 11425, '2016': 11349, '1990': 2366, '1982': 1338, '1983': 1291, '1980': 1204, '1981': 1269, '1986': 1649, '1987': 1823, '1984': 1542, '1985': 1531, '2021': 16353, '2020': 15507, '1988': 2156, '2023': 15362, '1989': 2220, '2022': 15119, '1917': 1, '1918': 2, '1916': 2, '1914': 1, '1995': 2885, '1996': 3124, '1997': 3212, '1998': 3313, '1991': 2439, '1992': 2772, '1993': 2848, '1919': 1, '1994': 2905, '1999': 3442, '1920': 2, '1921': 4, '1926': 8, '1927': 4, '1928': 7, '1929': 7, '1922': 3, '1923': 3, '1924': 2, '1925': 8, '2001': 3591, '2000': 3515, '1936': 13, '1935': 11, '1934': 12, '1933': 8, '1939': 7, '1938': 15, '1937': 10, '1932': 13, '1931': 12, '1930': 12, '1945': 21, '1944': 10, '1947': 29, '1946': 28, '1949': 35, '1948': 33, '1941': 18, '1940': 13, '1943': 18, '1942': 14, '1959': 186, '1958': 140, '1957': 143, '1956': 116, '1955': 119, '1954': 87, '1953': 70, '1952': 62, '1951': 63, '1950': 44, '1884': 1, '2025': 5316, '2024': 12916, '1967': 481, '1966': 416, '1969': 634, '1968': 494, '1963': 431, '1962': 345, '1965': 453, '1964': 488, '1961': 242, '1960': 196}","{'bronze': 38739, 'green': 30831, 'diamond': 3839, 'gold': 33355, 'hybrid': 16500}"
I151746483,University of Waterloo,1.6773295744665546,0.6121095272889349,2.2519335342217373,2.629677307999364,199.61151824176991,"{'false': 95870, 'true': 43179}","{'other': 958, 'book-chapter': 11199, 'supplementary-materials': 1, 'editorial': 275, 'letter': 431, 'peer-review': 215, 'reference-entry': 39, 'erratum': 276, 'paratext': 331, 'article': 115347, 'dataset': 777, 'book': 769, 'report': 91, 'dissertation': 93, 'review': 2916, 'preprint': 5329, 'retraction': 2}","{'2008': 3547, '2009': 4396, '2006': 3156, '2007': 3343, '2004': 2357, '2005': 2800, '2002': 2747, '2003': 2390, '1970': 363, '1971': 472, '1972': 619, '1973': 535, '1974': 613, '1975': 590, '1976': 575, '1977': 582, '2012': 4395, '1978': 624, '2011': 4189, '1979': 742, '2010': 3934, '2017': 5449, '1944': 1, '2018': 5593, '2019': 6201, '1946': 1, '2013': 4508, '1899': 2, '2014': 4958, '2015': 5209, '2016': 5044, '1990': 1126, '1982': 751, '1983': 749, '1980': 694, '1981': 646, '1986': 869, '1987': 934, '1984': 829, '1985': 802, '2021': 6789, '2020': 6732, '1988': 1003, '2023': 6563, '1989': 1122, '2022': 6411, '1959': 1, '1884': 1, '1995': 1299, '1996': 1445, '1997': 1326, '1998': 1313, '1991': 1225, '1992': 1387, '1993': 1336, '1994': 1287, '2025': 1778, '2024': 5271, '1999': 1299, '1920': 1, '1967': 174, '1966': 114, '1969': 322, '1968': 208, '1963': 30, '1962': 16, '1965': 117, '1964': 57, '1961': 8, '1924': 1, '1960': 11, '2001': 1572, '2000': 1495}","{'bronze': 11526, 'green': 14724, 'diamond': 1589, 'gold': 10066, 'hybrid': 5274}"
I153718931,University of Ottawa,1.738426838050452,0.5819094978735506,2.18779140454096,3.788428876177046,338.87117681426594,"{'false': 88464, 'true': 58730}","{'other': 570, 'book-chapter': 7064, 'editorial': 1064, 'standard': 11, 'letter': 2589, 'peer-review': 157, 'reference-entry': 101, 'erratum': 384, 'paratext': 389, 'article': 118472, 'dataset': 810, 'book': 691, 'report': 118, 'dissertation': 197, 'review': 10903, 'preprint': 3663, 'retraction': 11}","{'2008': 3522, '2009': 3786, '2006': 3115, '2007': 3194, '2004': 2425, '2005': 2550, '2002': 2102, '2003': 2029, '1970': 184, '1971': 217, '1972': 263, '1973': 278, '1974': 319, '1975': 306, '1976': 320, '1977': 340, '2012': 4753, '1978': 419, '2011': 4502, '1979': 449, '2010': 4130, '2017': 6402, '2018': 7040, '1947': 1, '2019': 7321, '1949': 2, '2013': 5162, '1899': 2, '1948': 1, '2014': 5735, '2015': 5864, '2016': 6367, '1990': 957, '1941': 1, '1982': 528, '1983': 537, '1980': 436, '1981': 445, '1986': 806, '1987': 720, '1984': 563, '1985': 640, '2021': 8290, '2020': 8058, '1988': 926, '2023': 8033, '1989': 883, '2022': 7703, '1959': 26, '1958': 32, '1957': 26, '1956': 18, '1955': 12, '1954': 14, '1917': 1, '1953': 30, '1952': 5, '1951': 10, '1950': 6, '1995': 1280, '1996': 1307, '1997': 1292, '1998': 1320, '1991': 959, '1992': 1060, '1993': 1142, '1994': 1245, '2025': 2754, '2024': 6856, '1999': 1341, '1967': 110, '1966': 76, '1969': 204, '1968': 113, '1963': 90, '1962': 56, '1965': 74, '1964': 69, '1961': 44, '1960': 46, '2001': 1507, '2000': 1443}","{'bronze': 18437, 'green': 11338, 'diamond': 2796, 'gold': 18407, 'hybrid': 7752}"
I154425047,University of Alberta,1.7750345502094391,0.6059944057959402,2.120088754704119,3.3161482363447203,296.64290604469494,"{'true': 86988, 'false': 148177}","{'other': 975, 'book-chapter': 10275, 'editorial': 1209, 'standard': 1, 'letter': 2907, 'peer-review': 284, 'reference-entry': 122, 'erratum': 591, 'paratext': 521, 'article': 196265, 'dataset': 2362, 'book': 900, 'report': 177, 'dissertation': 72, 'review': 13402, 'preprint': 5093, 'retraction': 9}","{'2008': 5831, '2009': 6119, '2006': 5284, '2007': 5191, '2004': 4251, '2005': 4752, '2002': 4014, '2003': 4148, '1970': 563, '1971': 630, '1972': 699, '1973': 770, '1974': 764, '1975': 666, '1976': 754, '1977': 759, '2012': 7425, '1978': 865, '2011': 7002, '1979': 902, '2010': 6558, '2017': 8971, '1895': 1, '2018': 9907, '2019': 10763, '1898': 1, '2013': 7821, '1899': 1, '2014': 8252, '2015': 8393, '2016': 9185, '1990': 1984, '1982': 948, '1983': 970, '1980': 914, '1981': 956, '1986': 1362, '1987': 1583, '1984': 1146, '1985': 1227, '2021': 11652, '2020': 11537, '1988': 1820, '2023': 11121, '1989': 1891, '2022': 11155, '1917': 1, '1916': 1, '1913': 2, '1914': 1, '1995': 2282, '1996': 2385, '1997': 2460, '1998': 2522, '1991': 2092, '1992': 2093, '1993': 2173, '1919': 1, '1994': 2281, '1999': 2701, '1920': 10, '1921': 8, '1926': 14, '1927': 15, '1928': 20, '1929': 13, '1922': 4, '1923': 14, '1924': 11, '1925': 11, '2001': 3032, '2000': 2880, '1936': 21, '1935': 6, '1934': 11, '1933': 6, '1939': 13, '1938': 7, '1937': 16, '1932': 19, '1931': 8, '1930': 9, '1945': 9, '1944': 18, '1947': 18, '1946': 11, '1949': 19, '1948': 12, '1941': 9, '1940': 12, '1943': 5, '1942': 11, '1959': 90, '1958': 71, '1957': 47, '1956': 46, '1955': 48, '1954': 43, '1953': 33, '1952': 28, '1951': 26, '1950': 21, '2025': 3535, '2024': 9431, '1967': 336, '1966': 356, '1969': 521, '1968': 450, '1963': 212, '1962': 184, '1965': 356, '1964': 286, '1961': 153, '1870': 1, '1960': 116}","{'bronze': 28705, 'green': 17602, 'diamond': 3584, 'gold': 25170, 'hybrid': 11927}"
I168635309,University of Calgary,1.7907242679170452,0.5880303207603496,2.0914104836114613,3.7024835654852213,338.5323346205163,"{'false': 105328, 'true': 68696}","{'other': 730, 'book-chapter': 10061, 'supplementary-materials': 27, 'editorial': 1127, 'standard': 16, 'peer-review': 184, 'letter': 3146, 'reference-entry': 66, 'erratum': 487, 'paratext': 330, 'article': 139111, 'dataset': 1579, 'book': 826, 'report': 70, 'dissertation': 90, 'review': 12124, 'preprint': 4036, 'retraction': 14}","{'2008': 4240, '2009': 4628, '2006': 3778, '2007': 3919, '2004': 3098, '2005': 3390, '2002': 2729, '2003': 2767, '1970': 246, '1971': 272, '1972': 326, '1973': 384, '1974': 340, '1975': 360, '1976': 373, '1977': 402, '2012': 5580, '1978': 459, '2011': 5136, '1979': 513, '2010': 4890, '2017': 7141, '1944': 1, '2018': 8718, '2019': 8479, '2013': 5860, '2014': 6297, '2015': 6353, '2016': 6843, '1990': 1344, '1982': 638, '1983': 658, '1980': 518, '1981': 505, '1986': 882, '1987': 1010, '1984': 779, '1985': 857, '2021': 9640, '2020': 9189, '1988': 1229, '2023': 9177, '1989': 1254, '2022': 8875, '1959': 1, '1958': 1, '1957': 1, '1953': 1, '1950': 1, '1995': 1539, '1996': 1617, '1997': 1616, '1998': 1603, '1991': 1336, '1992': 1453, '1993': 1517, '1994': 1481, '2025': 3310, '1800': 1, '2024': 7942, '1999': 1770, '1967': 105, '1966': 101, '1969': 181, '1968': 150, '1963': 20, '1962': 10, '1965': 36, '1964': 29, '1961': 9, '1960': 3, '2001': 2058, '2000': 2055}","{'bronze': 22165, 'green': 13620, 'diamond': 2647, 'gold': 21592, 'hybrid': 8672}"
I18014758,Simon Fraser University,1.7875919944935703,0.6078967450627428,2.540129427648672,3.3017551755175822,247.07421771589117,"{'true': 26837, 'false': 48711}","{'other': 447, 'book-chapter': 5608, 'editorial': 217, 'peer-review': 145, 'letter': 447, 'reference-entry': 36, 'erratum': 150, 'paratext': 144, 'article': 62617, 'dataset': 628, 'book': 524, 'report': 102, 'dissertation': 115, 'review': 1854, 'preprint': 2514}","{'2008': 2093, '2009': 2405, '2006': 1821, '2007': 2082, '2004': 1376, '2005': 1520, '2002': 1437, '2003': 1249, '1970': 124, '1971': 154, '1972': 154, '1973': 174, '1974': 150, '1975': 172, '1976': 192, '1977': 182, '2012': 2692, '1978': 230, '2011': 2662, '1979': 254, '2010': 2515, '2017': 3172, '2018': 3222, '2019': 3265, '2013': 2651, '2014': 2711, '2015': 2822, '2016': 3047, '1990': 575, '1982': 311, '1983': 341, '1980': 250, '1981': 290, '1986': 396, '1987': 403, '1984': 376, '1985': 396, '2021': 3645, '2020': 3631, '1988': 493, '2023': 3440, '1989': 556, '2022': 3343, '1995': 761, '1996': 767, '1997': 794, '1998': 759, '1991': 640, '1992': 668, '1993': 697, '1994': 706, '2025': 935, '2024': 2878, '1999': 750, '1967': 57, '1966': 26, '1969': 159, '1968': 69, '1965': 4, '1964': 1, '2001': 963, '2000': 940}","{'bronze': 6619, 'green': 8721, 'diamond': 1164, 'gold': 6773, 'hybrid': 3560}"
